id,customer_id,order_date,total_amount,status,shipping_cost,product_category
1,1,2024-01-15,127.50,completed,8.99,Electronics
2,2,2024-01-18,45.99,completed,5.99,Office
3,1,2024-02-03,299.99,completed,12.99,Electronics
4,3,2024-02-10,89.50,failed,0,Office
5,4,2024-02-14,156.75,completed,9.99,Electronics
6,2,2024-03-01,234.99,completed,11.99,Furniture
7,5,2024-03-08,67.50,completed,6.99,Office
8,3,2024-03-15,445.00,completed,15.99,Electronics
9,6,2024-03-22,123.45,completed,8.99,Office
10,1,2024-04-05,89.99,completed,7.99,Electronics
11,7,2024-04-12,567.80,completed,18.99,Electronics
12,4,2024-04-18,234.50,completed,11.99,Furniture
13,8,2024-05-02,178.99,completed,9.99,Electronics
14,2,2024-05-10,99.99,failed,0,Office
15,9,2024-05-15,345.67,completed,13.99,Electronics
16,5,2024-06-01,456.78,completed,16.99,Gaming
17,3,2024-06-08,123.45,completed,8.99,Office
18,10,2024-06-20,789.99,completed,22.99,Electronics
19,6,2024-07-04,234.56,completed,11.99,Office
20,1,2024-07-15,567.89,completed,19.99,Electronics
21,11,2024-07-22,123.45,completed,8.99,Office
22,4,2024-08-05,345.67,completed,13.99,Gaming
23,7,2024-08-12,234.50,completed,11.99,Electronics
24,2,2024-08-25,456.78,completed,16.99,Furniture
25,12,2024-09-01,189.99,completed,9.99,Office
26,8,2024-09-10,678.90,completed,21.99,Electronics
27,5,2024-09-18,345.67,completed,13.99,Gaming
28,13,2024-10-02,234.56,completed,11.99,Office
29,3,2024-10-12,567.89,completed,19.99,Electronics
30,9,2024-10-22,123.45,completed,8.99,Office
31,14,2024-11-01,456.78,completed,16.99,Electronics
32,6,2024-11-08,234.50,completed,11.99,Gaming
33,1,2024-11-15,789.99,completed,22.99,Electronics
34,10,2024-11-22,345.67,completed,13.99,Office
35,15,2024-12-01,567.89,completed,19.99,Electronics
36,4,2024-12-08,234.56,completed,11.99,Office
37,7,2024-12-15,456.78,completed,16.99,Gaming
38,11,2023-01-20,234.50,completed,11.99,Office
39,2,2023-02-15,567.89,completed,19.99,Electronics
40,12,2023-03-10,345.67,completed,13.99,Gaming
41,5,2023-04-05,234.56,completed,11.99,Office
42,13,2023-05-12,456.78,completed,16.99,Electronics
43,8,2023-06-18,234.50,completed,11.99,Office
44,3,2023-07-22,567.89,completed,19.99,Electronics
45,14,2023-08-15,345.67,completed,13.99,Gaming
46,9,2023-09-10,234.56,completed,11.99,Office
47,6,2023-10-05,456.78,completed,16.99,Electronics
48,15,2023-11-12,234.50,completed,11.99,Office
49,1,2023-12-20,567.89,completed,19.99,Electronics
50,10,2023-12-28,345.67,completed,13.99,Gaming
