id,order_id,product_id,quantity,unit_price,customer_id
1,1,1,2,29.99,1
2,1,2,3,12.99,1
3,2,8,2,15.99,2
4,2,7,1,34.99,2
5,3,10,1,299.99,1
6,5,4,1,89.99,4
7,5,6,1,129.99,4
8,6,11,1,249.99,2
9,7,8,3,15.99,5
10,7,19,2,9.99,5
11,8,10,1,299.99,3
12,8,4,1,89.99,3
13,8,14,1,69.99,3
14,9,7,2,34.99,6
15,9,20,3,14.99,6
16,10,1,3,29.99,1
17,11,10,1,299.99,7
18,11,16,2,119.99,7
19,12,11,1,249.99,4
20,13,6,1,129.99,8
21,13,2,4,12.99,8
22,15,13,2,159.99,9
23,16,17,3,59.99,5
24,16,18,2,109.99,5
25,17,8,5,15.99,3
26,17,19,3,9.99,3
27,18,10,2,299.99,10
28,18,16,1,119.99,10
29,19,11,1,249.99,6
30,20,13,1,159.99,1
31,20,10,1,299.99,1
32,21,8,6,15.99,11
33,22,17,4,59.99,4
34,22,26,1,139.99,4
35,23,6,1,129.99,7
36,23,1,3,29.99,7
37,24,11,1,249.99,2
38,24,12,1,449.99,2
39,25,8,10,15.99,12
40,26,10,2,299.99,8
41,27,18,2,109.99,5
42,27,26,1,139.99,5
43,28,8,12,15.99,13
44,29,10,1,299.99,3
45,29,16,2,119.99,3
46,30,8,6,15.99,9
47,31,13,2,159.99,14
48,31,16,1,119.99,14
49,32,17,2,59.99,6
50,32,18,1,109.99,6
51,33,10,2,299.99,1
52,33,16,1,119.99,1
53,34,8,15,15.99,10
54,35,13,3,159.99,15
55,36,8,12,15.99,4
56,37,17,5,59.99,7
57,37,26,1,139.99,7
58,38,8,10,15.99,11
59,39,10,1,299.99,2
60,39,16,2,119.99,2
61,40,17,3,59.99,12
62,40,18,2,109.99,12
63,41,8,8,15.99,5
64,42,13,2,159.99,13
65,42,16,1,119.99,13
66,43,8,6,15.99,8
67,44,10,1,299.99,3
68,44,16,1,119.99,3
69,45,17,4,59.99,14
70,45,18,1,109.99,14
71,46,8,5,15.99,9
72,47,13,2,159.99,6
73,47,16,1,119.99,6
74,48,8,7,15.99,15
75,49,10,1,299.99,1
76,49,16,1,119.99,1
77,50,17,3,59.99,10
78,50,18,2,109.99,10
