id,name,category,price,cost,stock_quantity,supplier_id,supplier_email,last_restocked
1,Wireless Mouse,Electronics,29.99,12.50,145,1,supplier1@tech.com,2024-11-20
2,USB-C Cable,Electronics,12.99,4.20,320,1,supplier1@tech.com,2024-12-05
3,Laptop Stand,Electronics,49.99,22.00,67,2,supplier2@office.com,2024-10-15
4,Mechanical Keyboard,Electronics,89.99,38.50,43,1,supplier1@tech.com,2024-12-10
5,Webcam HD,Electronics,79.99,35.00,28,3,,2023-08-22
6,Headphones,Electronics,129.99,52.00,91,1,supplier1@tech.com,2024-11-28
7,Desk Lamp,Office,34.99,15.50,156,2,supplier2@office.com,2024-12-01
8,Notebook Set,Office,15.99,5.80,287,4,supplier4@paper.com,2024-11-15
9,Wireless Charger,Electronics,39.99,16.00,8,1,supplier1@tech.com,2023-12-10
10,Monitor 27inch,Electronics,299.99,145.00,22,3,,2024-11-05
11,Office Chair,Furniture,249.99,120.00,15,5,supplier5@furniture.com,2024-10-30
12,Standing Desk,Furniture,449.99,225.00,6,5,supplier5@furniture.com,2023-11-18
13,Webcam 4K,Electronics,159.99,72.00,34,3,,2024-12-08
14,Wireless Speaker,Electronics,69.99,28.50,118,1,supplier1@tech.com,2024-11-25
15,Tablet Stand,Electronics,24.99,10.00,203,2,supplier2@office.com,2024-12-03
16,External SSD 1TB,Computers,119.99,58.00,54,6,supplier6@storage.com,2024-11-22
17,Gaming Mouse,Gaming,59.99,24.00,89,7,supplier7@gaming.com,2024-12-07
18,Gaming Keyboard,Gaming,109.99,48.00,41,7,supplier7@gaming.com,2024-11-30
19,Mouse Pad,Office,9.99,3.20,412,4,supplier4@paper.com,2024-11-10
20,Cable Organizer,Office,14.99,5.50,245,2,supplier2@office.com,2024-12-02
21,Portable Monitor,Electronics,189.99,92.00,19,3,,2024-10-28
22,Ergonomic Mouse,Electronics,44.99,18.50,76,1,supplier1@tech.com,2024-12-06
23,Laptop Bag,Office,39.99,16.50,134,4,supplier4@paper.com,2024-11-18
24,Screen Cleaner Kit,Office,11.99,4.00,298,4,supplier4@paper.com,2024-11-29
25,Surge Protector,Electronics,27.99,11.00,167,2,supplier2@office.com,2024-12-04
26,Gaming Headset,Gaming,139.99,62.00,37,7,supplier7@gaming.com,2024-11-27
27,Wireless Keyboard,Electronics,54.99,22.50,95,1,supplier1@tech.com,2024-12-09
28,Document Scanner,Office,129.99,58.00,23,2,supplier2@office.com,2024-10-20
29,Desk Organizer,Office,19.99,7.50,189,4,supplier4@paper.com,2024-11-21
30,USB Hub,Electronics,32.99,13.50,143,1,supplier1@tech.com,2024-12-01
